gene_id,hpo_id
HLA-A,HP:0000518
HLA-A,HP:0000532
HLA-A,HP:0000541
HLA-A,HP:0000543
HLA-A,HP:0000572
HLA-A,HP:0000610
HLA-A,HP:0000613
HLA-A,HP:0000622
HLA-A,HP:0007843
HLA-A,HP:0007906
HLA-A,HP:0008046
HLA-A,HP:0011505
HLA-A,HP:0011506
HLA-A,HP:0011508
HLA-A,HP:0011531
HLA-A,HP:0030329
HLA-A,HP:0030530
HLA-A,HP:0030609
HLA-A,HP:0030644
HLA-A,HP:0100014
HLA-A,HP:0100533
HLA-A,HP:0100832
HLA-A,HP:0200056
HLA-B,HP:0000010
HLA-B,HP:0000031
HLA-B,HP:0000083
HLA-B,HP:0000099
HLA-B,HP:0000155
HLA-B,HP:0000206
HLA-B,HP:0000365
HLA-B,HP:0000405
HLA-B,HP:0000421
HLA-B,HP:0000488
HLA-B,HP:0000505
HLA-B,HP:0000508
HLA-B,HP:0000509
HLA-B,HP:0000518
HLA-B,HP:0000554
HLA-B,HP:0000572
HLA-B,HP:0000597
HLA-B,HP:0000613
HLA-B,HP:0000618
HLA-B,HP:0000621
HLA-B,HP:0000639
HLA-B,HP:0000648
HLA-B,HP:0000651
HLA-B,HP:0000708
HLA-B,HP:0000716
HLA-B,HP:0000737
HLA-B,HP:0000790
HLA-B,HP:0000795
HLA-B,HP:0000822
HLA-B,HP:0000873
HLA-B,HP:0000962
HLA-B,HP:0000975
HLA-B,HP:0000988
HLA-B,HP:0001061
HLA-B,HP:0001097
HLA-B,HP:0001101
HLA-B,HP:0001123
HLA-B,HP:0001250
HLA-B,HP:0001251
HLA-B,HP:0001260
HLA-B,HP:0001269
HLA-B,HP:0001287
HLA-B,HP:0001288
HLA-B,HP:0001289
HLA-B,HP:0001297
HLA-B,HP:0001324
HLA-B,HP:0001347
HLA-B,HP:0001369
HLA-B,HP:0001386
HLA-B,HP:0001387
HLA-B,HP:0001399
HLA-B,HP:0001426
HLA-B,HP:0001482
HLA-B,HP:0001596
HLA-B,HP:0001597
HLA-B,HP:0001635
HLA-B,HP:0001637
HLA-B,HP:0001644
HLA-B,HP:0001645
HLA-B,HP:0001646
HLA-B,HP:0001653
HLA-B,HP:0001654
HLA-B,HP:0001658
HLA-B,HP:0001659
HLA-B,HP:0001701
HLA-B,HP:0001733
HLA-B,HP:0001744
HLA-B,HP:0001824
HLA-B,HP:0001872
HLA-B,HP:0001873
HLA-B,HP:0001874
HLA-B,HP:0001903
HLA-B,HP:0001920
HLA-B,HP:0001945
HLA-B,HP:0001954
HLA-B,HP:0001960
HLA-B,HP:0002014
HLA-B,HP:0002015
HLA-B,HP:0002017
HLA-B,HP:0002024
HLA-B,HP:0002027
HLA-B,HP:0002037
HLA-B,HP:0002039
HLA-B,HP:0002043
HLA-B,HP:0002076
HLA-B,HP:0002091
HLA-B,HP:0002092
HLA-B,HP:0002093
HLA-B,HP:0002094
HLA-B,HP:0002102
HLA-B,HP:0002103
HLA-B,HP:0002105
HLA-B,HP:0002113
HLA-B,HP:0002167
HLA-B,HP:0002202
HLA-B,HP:0002204
HLA-B,HP:0002205
HLA-B,HP:0002206
HLA-B,HP:0002239
HLA-B,HP:0002315
HLA-B,HP:0002321
HLA-B,HP:0002326
HLA-B,HP:0002354
HLA-B,HP:0002367
HLA-B,HP:0002376
HLA-B,HP:0002383
HLA-B,HP:0002516
HLA-B,HP:0002617
HLA-B,HP:0002633
HLA-B,HP:0002637
HLA-B,HP:0002638
HLA-B,HP:0002647
HLA-B,HP:0002716
HLA-B,HP:0002754
HLA-B,HP:0002808
HLA-B,HP:0002829
HLA-B,HP:0002910
HLA-B,HP:0002923
HLA-B,HP:0003249
HLA-B,HP:0003326
HLA-B,HP:0003401
HLA-B,HP:0003418
HLA-B,HP:0003419
HLA-B,HP:0003565
HLA-B,HP:0003765
HLA-B,HP:0003781
HLA-B,HP:0004306
HLA-B,HP:0004372
HLA-B,HP:0004417
HLA-B,HP:0004420
