hpo_id	hpo_strings	pt_code	pt_name	method	n_candidates	candidate_pt_codes	candidate_pt_names
HP:0000518	Cataract|Cataracts|Clouding of the lens of the eye|Cloudy lens|Lens opacities|Lens opacity			no_match	0		
HP:0000532	Abnormal chorioretinal morphology|Chorioretinal abnormality			no_match	0		
HP:0000541	Retinal detachment|Detached retina			no_match	0		
HP:0000543	Optic disc pallor|Disc pallor|Pale optic disc|Pale optic discs			no_match	0		
HP:0000572	Visual loss|Loss of vision|Vision loss			no_match	0		
HP:0000610	Abnormal choroid morphology|Abnormality of the choroid|Choroid disease			no_match	0		
HP:0000613	Photophobia|Extreme sensitivity of the eyes to light|Light hypersensitivity|Photodysphoria	Photophobia	Photophobia	unique_auto_match	1	Photophobia	Photophobia
HP:0000622	Blurred vision			no_match	0		
HP:0007843	Attenuation of retinal blood vessels|Narrowing of blood vessels in back of eye			no_match	0		
HP:0007906	Ocular hypertension|Elevated intraocular pressure|Elevated IOP|High eye pressure|Increased intraocular pressure|Increased IOP|Raised intraocular pressure|Raised IOP			no_match	0		
HP:0008046	Abnormal retinal vascular morphology|Abnormality of retina blood vessels|Abnormality of the retinal vasculature			no_match	0		
HP:0011505	Cystoid macular edema			no_match	0		
HP:0011506	Choroidal neovascularization|Choroidal neovascular membrane			no_match	0		
HP:0011508	Macular hole			no_match	0		
HP:0011531	Vitritis|Hyalitis|Vitreitis			no_match	0		
HP:0030329	Retinal thinning			no_match	0		
HP:0030530	Arcuate scotoma|Arc-shaped blind spot			no_match	0		
HP:0030609	Photoreceptor layer loss on macular OCT			no_match	0		
HP:0030644	Blind-spot enlargement|Blind spot enlargement			no_match	0		
HP:0100014	Epiretinal membrane|Epiretinal membranes|Macular pucker|Premacular fibrosis			no_match	0		
HP:0100533	Inflammatory abnormality of the eye|Ocular inflammation			no_match	0		
HP:0100832	Vitreous floaters|Eye floaters|Flitting flies|Mouches volantes|Myodeopsia|Myodesopsia|Spots in front of eyes|Vitreous condensations|Vitreous debris|Vitreous opacities|Vitreous veils			no_match	0		
HP:0200056	Macular scar|Macular scarring			no_match	0		
HP:0000010	Recurrent urinary tract infections|Frequent urinary tract infections|Recurrent UTIs|Repeated bladder infections|Repeated urinary tract infections|Urinary tract infections|Urinary tract infections, recurrent			no_match	0		
HP:0000031	Epididymitis			no_match	0		
HP:0000083	Renal insufficiency|Renal failure|Renal failure in adulthood			no_match	0		
HP:0000099	Glomerulonephritis|Glomerular nephritis			no_match	0		
HP:0000155	Oral ulcer|Mouth sore|Mouth ulcer|Oral mucosal ulceration			no_match	0		
HP:0000206	Glossitis|Inflammation of the tongue|Lingual inflammation|Smooth swollen tongue			no_match	0		
HP:0000365	Hearing impairment|Deafness|Hearing defect|Hearing loss|Hypacusis|Hypoacusis			no_match	0		
HP:0000405	Conductive hearing impairment|Conduction deafness|Conductive deafness|Conductive hearing loss|Hearing loss, conductive			no_match	0		
HP:0000421	Epistaxis|Bloody nose|Frequent nosebleeds|Nasal haemorrhage|Nasal hemorrhage|Nose bleed|Nose bleeding|Nosebleed			no_match	0		
HP:0000488	Retinopathy|Noninflammatory retina disease			no_match	0		
HP:0000505	Visual impairment|Impaired vision|Loss of eyesight|Poor vision			no_match	0		
HP:0000508	Ptosis|Blepharoptosis|Drooping upper eyelid|Eye drop|Eyelid ptosis|Palpebral ptosis			no_match	0		
HP:0000509	Conjunctivitis|Conjunctivitis, recurrent|Pink eye			no_match	0		
HP:0000554	Uveitis			no_match	0		
HP:0000597	Ophthalmoparesis|Extraocular muscle palsy|Extraocular muscle paralysis|Weakness of extraocular eye movement|Weakness of muscles controlling eye movement			no_match	0		
HP:0000618	Blindness|Legal blindness|Total vision loss			no_match	0		
HP:0000621	Entropion|Eyelid folded in|Eyelid turned in|Inverted eyelid			no_match	0		
HP:0000639	Nystagmus|Involuntary, rapid, rhythmic eye movements			no_match	0		
HP:0000648	Optic atrophy|Optic nerve atrophy|Optic-nerve degeneration			no_match	0		
HP:0000651	Diplopia|Double vision			no_match	0		
HP:0000708	Atypical behavior|Behavioral abnormality|Behavioral changes|Behavioral disorders|Behavioral disturbances|Behavioral problems|Behavioral symptoms|Behavioral/psychiatric abnormalities|Behavioural abnormality|Behavioural changes|Behavioural disorders|Behavioural disturbances|Behavioural problems|Behavioural symptoms|Behavioural/Psychiatric abnormality|Psychiatric disorders|Psychiatric disturbances			no_match	0		
HP:0000716	Depression|Depressive disorder|Depressive episode|Depressivity			no_match	0		
HP:0000737	Irritability|Affect lability|Behavioral irritation state|Cranky|Dysphoric agitation|Easily annoyed|Easily bothered|Easily upset|Elevated frustration|Emotional overactivity|Exasperation|Frustration intolerance|Grumpy|Heightened agitation state|Heightened emotional reactivity|Heightened reactivity state|Hot-temper|Hyperreactivity|Increased emotional instability|Increased emotional sensitivity|Irritable|Irritable mood|Mood volatility|On edge|Overreactive emotional state|Oversensitivity|Quick-temper|Short fuse|Short tempered			no_match	0		
