meddra_pt,prior
Dizziness,1.0
Asthenia,0.979928
Dermatitis,0.972663
Nausea,0.959843
Rash,0.954392
Musculoskeletal discomfort,0.953534
Headache,0.951035
Vomiting,0.946119
Diarrhoea,0.943011
Feeling abnormal,0.941252
Pruritus,0.928119
Abdominal pain,0.925755
Hypersensitivity,0.922401
Decreased appetite,0.918402
Pain,0.916995
Gastrointestinal disorder,0.914568
Body temperature increased,0.909279
Dyspepsia,0.908979
Urticaria,0.908678
Gastrointestinal pain,0.907012
Somnolence,0.903459
Anaphylactic shock,0.902989
Hyperhidrosis,0.898029
Fatigue,0.894394
Paraesthesia,0.893047
Skin disorder,0.891687
Hypotension,0.890313
Constipation,0.889794
Shock,0.888575
Dyspnoea,0.8884
Insomnia,0.883403
Muscle spasms,0.881018
Cough,0.879154
Chest pain,0.875925
Agitation,0.874378
Nervous system disorder,0.873402
Discomfort,0.873402
Infection,0.868411
Tachycardia,0.867391
Thrombocytopenia,0.86698
Arthralgia,0.866774
Erythema multiforme,0.865117
Loss of consciousness,0.864909
Oedema,0.86174
Hypertension,0.860667
Anxiety,0.858931
Myalgia,0.858275
Erythema,0.857615
Dry mouth,0.855616
Confusional state,0.8506
Convulsion,0.850134
Angioedema,0.849667
Chills,0.848728
Anaemia,0.847307
Dysgeusia,0.846351
Malaise,0.846111
Visual impairment,0.845871
Leukopenia,0.845147
Back pain,0.844662
Syncope,0.842951
Palpitations,0.841715
Tremor,0.841466
Vertigo,0.839966
Flatulence,0.838193
Ill-defined disorder,0.836138
Neuropathy peripheral,0.83273
Vision blurred,0.831396
Mental disorder,0.831127
Malnutrition,0.831127
Oedema peripheral,0.830589
Alopecia,0.829505
Nervousness,0.828138
Tension,0.825922
Mediastinal disorder,0.824517
Angiopathy,0.824235
Stomatitis,0.823952
Immune system disorder,0.822813
Flushing,0.821664
Renal failure,0.81963
Eye disorder,0.81486
Cardiac disorder,0.813641
Arrhythmia,0.81148
Hypoaesthesia,0.810856
Haemorrhage,0.810543
Pancytopenia,0.8096
Tinnitus,0.809284
Rhinitis,0.808649
Connective tissue disorder,0.808649
Photosensitivity reaction,0.808331
Pharyngitis,0.806406
Haemoglobin,0.805432
Urethral disorder,0.805106
Urinary tract disorder,0.802136
Hepatitis,0.801467
Bradycardia,0.798756
Abdominal distension,0.796687
Epistaxis,0.794231
Sinusitis,0.793877
Haematuria,0.793521
Pollakiuria,0.793521
Nasopharyngitis,0.79173
Hallucination,0.791006
Conjunctivitis,0.791006
Depression,0.790643
Urinary tract infection,0.790643
Infestation,0.790643
Pneumonia,0.789548
Abdominal discomfort,0.788813
Acute coronary syndrome,0.787702
Agranulocytosis,0.787702
Hepatobiliary disease,0.786956
Hyperglycaemia,0.786582
Myocardial infarction,0.786207
Upper respiratory tract infection,0.783549
Jaundice,0.783549
Weight increased,0.783165
Stevens-Johnson syndrome,0.782394
Blood creatinine increased,0.782007
Dysuria,0.782007
Neutropenia,0.781618
Angina pectoris,0.779659
Pancreatitis,0.779263
Weight decreased,0.778469
Bronchitis,0.775244
Bronchospasm,0.772774
Muscular weakness,0.77194
Eosinophilia,0.77194
Asthma,0.768552
Erectile dysfunction,0.767691
Abdominal pain upper,0.765076
Disturbance in sexual arousal,0.765076
Influenza,0.764635
Aspartate aminotransferase increased,0.762856
Toxic epidermal necrolysis,0.762408
Pain in extremity,0.760599
Alanine aminotransferase increased,0.760143
Dysphagia,0.755496
Dry skin,0.75407
Liver function test abnormal,0.75407
Hypokalaemia,0.753111
Osteoarthritis,0.753111
Gastritis,0.751659
Psychotic disorder,0.751171
Breast disorder,0.749698
Renal impairment,0.748208
Arthritis,0.748208
Anaphylactoid reaction,0.747708
Orthostatic hypotension,0.747708
Urinary retention,0.745178
Hypoglycaemia,0.744666
Affect lability,0.743637
Dehydration,0.743119
Mood swings,0.743119
Face oedema,0.742078
Dermatitis bullous,0.742078
Cardiac arrest,0.741554
Deafness,0.7405
Ataxia,0.7405
Migraine,0.7405
Menopausal symptoms,0.738904
Candida infection,0.738904
Diabetes mellitus,0.737829
Hyponatraemia,0.735653
Purpura,0.733998
Injury,0.732321
Hot flush,0.731758
Cerebrovascular accident,0.731758
Irritability,0.731758
Amnesia,0.731192
Increased appetite,0.731192
Lethargy,0.730624
Blood alkaline phosphatase increased,0.730624
Renal failure acute,0.72948
Cardiac failure,0.72948
Mental disability,0.728904
Atrial fibrillation,0.728326
Gastrointestinal haemorrhage,0.727162
Sleep disorder,0.726577
Thirst,0.725398
Haemolytic anaemia,0.725398
Diplopia,0.724804
Nasal congestion,0.724208
Dermatitis exfoliative,0.723609
Hepatic failure,0.722404
Polyuria,0.722404
Swelling,0.721797
Sepsis,0.720575
Cardiac failure congestive,0.720575
Thrombophlebitis,0.720575
